,comentarios,estrelas
776,"Otimo produto, até agora tudo bem. O site é de bom acesso, passam notificações via e-mail sobre o despacho da mercadoria.
Entrega rápida e eficiente.
Recomendo.",5
777,"Perfeito ! Atende minhas necessidades, com certeza recomendo",5
778,"Produto muito bom, bom atendimento e entrega antecipada.",5
779,"EFICACIA, RESPONSABILIDADE, ENTREGARAM O PRODUTO TAMBEM DE EXCELENTE QUALIDADE MUITO ANTES DO PRAZO. MUITO SATISFEITA.",5
780,"Gostei muito do produto que adquirir, pelo a qualidade e custo benefício.",4
781,comprei pois já havia comprado uma da mesma marca e foi satisfatório,4
782,"Gostei do produto, funciona como esperado. Magazine de parabéns por ter entregue antes do pevisto",5
783,Excelente produto e entrega super rapída. material chegou intacto,5
784,produto  muito bom atendeu as minhas expectativas  fácil uso  rápida e fácil instalaçao,5
785,"Comprei por um ótimo preço e não me arrependi! Impressão de qualidade, compatível com a proposta do produto. Entrega rápida! :)",5
786,"Ótimo produto, atende as expectativas, cumpre com o prometido",5
787,"Produto atende as expectativas, é compacta e eficiente para as minhas necessidades. Quanto à loja, destaco a facilidade na compra e rapidez na entrega, superou minha expectativa.",5
788,Já comprei várias vezes nunca tive problemas.Eu gostei muito.Tudo certinho.,5
